Region,Suburb,Value,Date,Measure,Date_period,Date_quarter,Date_dt,PropertyType
,Gladstone Park-Tullamarine,14.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Keilor,,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Moonee Ponds-Ascot Vale,214.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Oak Park-Glenroy-Fawkner,74.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Pascoe Vale-Coburg North,45.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Sunbury,14.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,West Brunswick,282.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Group Total,1520.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,48.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Eltham-Research-Montmorency,26.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Fairfield-Alphington,281.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Heidelberg-Heidelberg West,51.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Ivanhoe-Ivanhoe East,60.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Mill Park-Epping,,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Northcote,206.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
